id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arrival_datetime
53,3,0,1,4,0,0,1,94,1,0,0,0,137.7,0,1,2018-07-25
54,2,0,0,1,0,0,0,221,0,0,0,0,100.0,0,0,2018-08-12
55,2,0,1,4,0,0,0,51,0,0,0,0,70.0,0,0,2018-11-16
56,2,0,1,2,0,0,1,59,1,0,0,0,87.3,0,0,2018-03-05
57,2,0,0,1,0,0,0,207,1,0,0,0,96.3,2,0,2018-10-11
58,2,2,2,2,0,0,2,95,1,0,0,0,77.86,2,0,2018-12-23
59,3,0,0,1,0,0,0,0,1,0,0,0,206.0,2,0,2018-09-20
60,2,0,0,2,0,0,0,110,1,0,0,0,72.8,2,0,2018-04-20
61,2,0,1,2,0,0,0,133,1,0,0,0,96.3,1,0,2018-08-29
62,2,0,1,4,0,0,1,189,0,0,0,0,60.0,1,0,2018-03-08
63,2,1,1,0,0,0,0,12,1,0,0,0,130.5,0,1,2018-07-15
64,2,0,1,2,2,0,0,161,0,0,0,0,130.0,0,0,2018-03-25
65,2,0,1,2,0,0,0,105,1,0,0,0,110.0,0,1,2018-04-12
66,2,0,2,3,0,0,0,166,1,0,0,0,117.06,0,1,2018-06-19
67,2,0,0,3,0,0,1,3,1,0,0,0,162.5,3,0,2017-10-06
68,2,0,0,2,0,0,0,152,1,0,0,0,114.3,1,1,2018-08-05
69,2,0,2,2,0,0,0,66,0,0,0,0,75.0,0,0,2018-10-09
70,1,0,0,3,0,0,0,7,0,0,0,0,70.0,0,0,2017-08-05
71,3,0,2,3,0,0,1,23,1,0,0,0,130.05,2,0,2018-04-10
72,1,0,0,3,0,0,0,36,0,0,0,0,61.0,0,0,2017-11-01
73,3,0,0,2,0,0,0,128,1,0,0,0,146.7,2,0,2018-07-08
74,1,0,0,2,0,1,0,55,2,1,0,2,67.0,0,0,2018-03-31
75,2,0,2,1,0,0,0,280,1,0,0,0,78.3,2,1,2018-11-19
76,3,0,0,3,0,0,1,63,1,0,0,0,159.3,0,1,2018-06-10
77,2,0,1,2,0,0,0,93,1,0,0,0,89.25,1,1,2017-10-10
78,2,0,0,4,0,0,4,56,1,0,0,0,123.84,0,1,2018-10-02
79,2,1,1,3,0,0,3,71,1,0,0,0,171.3,0,1,2018-04-08
80,2,0,1,5,1,0,0,113,1,0,0,0,85.0,0,1,2018-06-30
81,2,0,0,4,0,0,1,42,1,0,0,0,91.8,0,1,2018-02-28
83,1,0,1,2,0,0,0,8,0,0,0,0,66.0,1,0,2018-02-15
84,2,0,2,4,0,0,1,57,1,0,0,0,117.45,1,1,2018-09-04
85,2,0,2,7,0,0,0,160,1,0,0,0,97.56,0,1,2018-08-22
86,2,0,1,4,0,0,0,110,0,0,0,0,70.0,0,0,2017-10-09
87,1,0,1,3,0,0,0,118,1,0,0,0,110.8,0,1,2018-06-29
88,2,0,2,4,0,0,0,1,0,0,0,0,60.0,0,0,2018-01-29
89,1,0,0,3,0,0,1,30,1,0,0,0,126.6,1,0,2018-06-08
90,3,0,2,0,0,0,1,63,1,0,0,0,138.5,0,0,2018-07-03
91,1,0,2,3,0,0,1,10,1,0,0,0,123.82,0,1,2018-10-01
92,2,0,0,2,2,0,0,102,0,0,0,0,109.0,1,0,2017-10-16
93,2,2,2,6,0,0,3,132,1,0,0,0,187.0,0,1,2018-07-01
94,3,0,1,4,0,0,1,168,1,0,0,0,130.05,3,0,2018-07-25
95,2,0,1,2,0,0,0,198,0,0,0,0,90.0,0,1,2018-05-09
96,2,0,1,4,0,0,0,138,1,0,0,0,90.95,0,0,2018-06-29
97,2,0,1,2,0,0,0,107,1,0,0,0,118.8,1,0,2018-10-07
98,1,0,1,3,0,0,0,61,1,0,0,0,80.75,2,0,2017-10-19
99,2,0,2,2,2,0,0,8,1,0,0,0,169.0,1,0,2018-08-26
100,2,0,1,2,0,0,0,20,0,0,0,0,62.0,0,0,2018-01-12
101,2,0,0,1,0,0,0,30,0,0,0,0,140.0,0,0,2018-11-02
102,2,0,1,1,0,0,3,159,1,0,0,0,198.9,0,1,2018-08-06
103,2,0,1,2,0,0,1,150,1,0,0,0,109.8,0,1,2018-08-30
104,1,0,0,3,2,0,0,55,0,0,0,0,87.0,0,0,2018-04-06
105,2,0,1,4,0,0,0,275,1,0,0,0,90.95,1,0,2018-10-04
106,2,0,0,1,0,0,0,6,0,0,0,0,100.8,0,0,2017-10-11
107,2,0,2,4,1,0,0,134,1,0,0,0,89.25,1,0,2018-07-26
108,2,1,0,3,0,0,0,172,1,0,0,0,108.9,0,1,2018-10-04
109,2,0,1,3,0,0,1,77,0,0,0,0,75.0,0,0,2018-03-20
110,2,0,2,3,0,0,1,107,1,0,0,0,95.2,0,0,2018-04-23
111,2,2,2,4,0,0,3,33,1,0,0,0,197.78,1,1,2018-04-23
112,2,0,1,3,0,0,1,35,0,0,0,0,75.0,0,0,2017-09-26
113,2,0,1,2,0,0,0,119,1,0,0,0,76.5,1,1,2017-07-22
114,1,0,0,1,0,0,0,0,0,0,0,0,111.2,0,0,2017-10-14
115,2,0,1,1,1,0,0,121,1,0,0,0,79.2,2,1,2018-11-24
116,2,0,1,2,0,0,0,237,1,0,0,0,87.67,1,1,2018-06-22
117,3,0,0,1,0,0,1,33,1,0,0,0,159.3,1,1,2018-03-26
118,1,0,0,3,0,0,0,34,2,0,0,0,65.0,0,1,2017-10-07
119,1,0,0,1,0,0,0,1,0,0,0,0,65.8,0,0,2018-01-21
120,3,0,2,4,0,0,1,28,1,0,0,0,133.4,2,1,2018-04-17
121,2,0,0,2,0,0,1,174,1,0,0,0,130.5,0,1,2018-07-10
122,3,0,2,5,0,0,1,151,1,0,0,0,138.55,0,1,2018-07-02
123,1,0,5,2,0,0,1,11,3,0,0,0,110.0,0,1,2018-05-24
124,2,0,2,1,0,0,0,252,1,0,0,0,106.3,0,1,2018-10-15
125,1,0,0,2,0,1,0,5,2,1,0,3,65.0,1,0,2018-03-15
126,2,0,0,3,0,0,0,157,0,0,0,0,68.0,0,1,2018-11-08
127,2,0,1,1,1,0,0,131,1,0,0,0,103.5,1,0,2018-07-03
128,2,0,0,2,0,0,0,84,0,0,0,0,70.0,0,0,2017-12-22
129,2,2,2,2,0,0,3,63,1,0,0,0,147.9,1,1,2018-11-23
130,2,0,0,3,2,0,0,9,1,0,0,0,129.0,1,0,2018-03-20
131,2,0,2,5,0,0,1,123,1,0,0,0,129.34,2,0,2018-08-20
132,2,0,1,2,1,0,0,418,1,0,0,0,107.0,0,1,2018-09-26
133,2,0,1,2,0,0,0,100,1,0,0,0,55.96,1,0,2018-07-31
134,2,0,0,1,0,0,0,80,0,0,0,0,75.0,0,0,2018-12-11
135,2,0,0,3,0,0,1,7,1,0,0,0,161.0,1,0,2018-03-25
136,2,0,2,1,0,0,0,202,0,0,0,0,90.0,0,0,2018-05-29
137,2,0,0,2,0,0,1,28,1,0,0,0,156.0,0,1,2018-05-20
138,1,0,0,1,0,0,0,2,2,1,0,23,65.0,2,0,2018-12-07
139,2,0,1,2,0,0,0,224,0,0,0,0,65.0,0,1,2017-10-02
140,1,0,0,2,0,0,0,6,0,0,0,0,75.0,0,0,2018-11-25
141,2,0,1,3,0,0,0,119,0,0,0,0,81.0,0,0,2018-04-04
142,2,2,2,3,0,0,5,39,1,0,0,0,242.77,1,0,2018-10-10
143,1,0,0,1,0,1,0,2,2,1,0,3,67.0,1,0,2018-04-16
144,2,0,0,3,0,0,0,27,0,0,0,0,108.0,0,0,2017-09-22
145,2,1,2,2,0,0,0,132,1,0,0,0,121.5,2,0,2018-07-03
146,2,0,2,2,0,0,1,160,1,0,0,0,131.4,1,1,2018-12-29
147,2,2,2,2,0,0,3,59,1,0,0,0,177.93,0,1,2018-05-28
148,3,0,0,4,0,0,1,107,1,0,0,0,150.3,0,1,2018-08-03
149,1,0,1,2,0,0,0,102,0,0,0,0,76.5,0,0,2017-10-16
150,2,0,2,2,0,0,0,122,1,0,0,0,105.3,0,1,2018-05-15
151,2,0,0,2,0,0,0,67,0,0,0,0,105.0,0,0,2018-11-02
152,2,0,2,0,1,1,0,196,1,0,0,0,85.5,1,0,2018-07-28
153,3,0,2,8,0,0,5,16,1,0,0,0,169.52,2,0,2018-09-02
154,1,0,2,4,0,0,0,245,0,0,0,0,110.0,0,0,2018-07-06
155,2,1,2,1,0,0,0,68,1,0,0,0,87.3,1,0,2018-04-02
156,2,0,0,3,1,0,0,110,1,0,0,0,94.5,0,1,2018-07-12
157,2,0,0,2,2,0,0,1,0,1,1,0,102.6,0,0,2017-09-30
158,1,0,1,1,0,0,0,119,0,0,0,0,110.0,0,0,2018-06-06
159,2,0,2,0,0,0,0,4,0,0,0,0,111.2,0,0,2017-09-20
160,2,0,2,2,0,0,0,157,0,0,0,0,80.75,0,0,2018-06-08
161,2,0,1,2,2,0,0,3,0,0,0,0,136.0,0,0,2017-12-10
162,2,0,0,3,0,0,0,335,0,0,0,0,80.0,2,0,2018-10-13
163,1,0,0,1,0,0,0,41,0,0,0,0,60.0,0,0,2018-12-27
164,3,0,2,3,0,0,1,36,1,0,0,0,145.8,2,0,2018-10-19
165,2,0,2,5,0,0,0,178,1,0,0,0,105.96,0,1,2018-07-31
166,2,0,2,2,0,0,0,179,1,0,0,0,90.95,1,0,2018-07-23
167,2,0,1,3,0,0,0,219,0,0,0,0,72.25,0,0,2018-08-17
168,0,2,2,0,0,0,2,14,1,0,0,0,127.0,1,0,2018-04-17
169,2,0,2,1,0,0,1,116,1,0,0,0,103.5,0,0,2018-12-18
170,2,0,0,4,0,0,0,166,1,0,0,0,99.45,1,1,2018-06-29
171,2,0,0,3,0,0,0,177,1,0,0,0,99.45,1,0,2018-08-02
172,1,0,0,1,0,0,0,122,0,0,0,0,70.0,0,0,2018-04-13
173,2,0,1,0,0,0,0,3,0,0,0,0,144.0,0,0,2018-08-28
174,2,0,0,4,0,0,1,153,1,0,0,0,123.25,0,1,2018-08-02
175,2,0,2,1,0,0,1,23,0,0,0,0,90.95,1,0,2018-01-02
176,2,0,2,2,0,0,1,175,1,0,0,0,104.4,1,1,2018-10-29
177,2,0,2,0,2,0,1,11,0,0,0,0,194.0,0,0,2018-05-20
178,2,0,1,3,0,0,0,5,0,0,0,0,58.0,1,0,2017-11-01
179,2,0,0,2,0,0,1,1,0,0,0,0,107.0,0,0,2018-10-05
180,3,0,2,2,0,0,1,10,1,0,0,0,157.0,0,1,2018-05-05
181,2,0,0,1,1,0,0,317,1,0,0,0,106.2,0,1,2018-09-01
182,2,0,2,3,0,0,0,123,1,0,0,0,101.15,1,0,2018-05-30
183,2,0,2,6,0,0,2,184,1,0,0,0,65.29,1,0,2017-10-17
184,2,0,2,1,0,0,0,54,0,0,0,0,80.75,1,0,2018-09-30
185,2,0,0,4,0,0,0,75,1,0,0,0,69.0,0,0,2018-03-18
186,2,0,1,4,0,0,0,97,1,0,0,0,65.42,0,0,2018-03-23
187,2,0,0,3,0,0,1,128,1,0,0,0,132.3,0,1,2018-10-11
188,2,0,1,3,1,0,0,161,1,0,0,0,97.75,0,1,2018-08-04
189,2,0,2,5,1,0,0,185,1,0,0,0,89.25,1,0,2018-08-17
190,2,0,1,3,0,0,0,78,0,0,0,0,100.0,0,1,2018-05-19
191,2,0,2,1,0,0,0,124,0,0,0,0,75.0,0,0,2017-08-08
192,1,0,0,2,2,0,0,1,1,0,0,0,0.0,1,0,2017-12-10
193,2,0,1,3,0,0,0,127,1,0,0,0,99.45,0,0,2018-05-30
194,2,0,2,0,0,0,0,5,2,1,1,0,100.0,0,0,2017-09-20
195,2,0,2,2,0,0,0,156,1,0,0,0,77.03,1,1,2018-07-25
196,2,0,0,3,0,0,0,250,1,0,0,0,106.2,0,1,2018-10-14
197,1,0,3,10,0,0,0,3,2,1,4,47,65.0,1,0,2018-10-05
198,1,0,0,2,0,0,0,99,1,0,0,0,90.9,0,0,2018-02-19
199,2,1,1,3,0,0,3,15,1,0,0,0,166.85,2,0,2018-12-29
200,1,0,1,0,0,0,0,2,2,1,0,7,65.0,0,0,2018-03-29
201,2,0,2,5,1,0,0,122,1,0,0,0,116.1,0,1,2018-06-29
202,2,0,0,3,0,0,0,7,0,0,0,0,144.0,0,0,2018-05-05
203,2,0,0,3,0,0,0,263,0,0,0,0,110.0,0,0,2018-10-21
204,2,0,0,1,0,0,0,65,0,0,0,0,85.0,0,0,2018-09-21
205,2,0,1,0,2,0,0,26,1,0,0,0,169.0,0,1,2018-04-22
206,2,0,1,1,1,0,0,80,0,0,0,0,94.5,0,0,2018-07-25
207,2,0,2,1,0,0,0,122,0,0,0,0,38.67,0,0,2018-03-25
208,2,2,1,4,0,0,3,56,1,0,0,0,207.9,1,1,2018-09-27
209,1,0,1,1,0,0,0,19,2,1,1,8,98.0,0,0,2018-10-21
210,2,0,0,1,0,0,0,70,0,0,0,0,95.0,1,0,2018-09-26
211,2,0,0,5,0,0,0,230,0,0,0,0,137.0,0,1,2018-09-06
212,1,0,0,2,0,0,1,122,1,0,0,0,121.5,0,0,2018-05-12
213,3,0,2,1,0,0,0,127,0,0,0,0,81.0,1,0,2018-03-20
214,2,0,2,2,0,0,1,56,1,0,0,0,105.6,0,1,2018-04-23
215,1,0,1,0,0,1,0,0,2,1,0,14,67.0,1,0,2018-03-07
216,2,0,2,5,0,0,0,119,1,0,0,0,119.85,0,1,2018-06-16
217,2,0,0,4,0,0,0,7,0,0,0,0,58.0,0,0,2017-12-09
218,2,0,1,2,0,0,0,39,0,0,0,0,65.0,0,0,2018-12-27
219,2,0,0,3,0,0,0,7,0,0,0,0,65.0,0,0,2017-12-29
220,1,0,1,2,0,0,0,64,1,0,0,0,130.0,0,1,2018-05-10
221,3,0,2,2,0,0,0,57,0,0,0,0,105.0,0,0,2018-11-11
222,2,0,0,3,0,0,1,130,1,0,0,0,127.41,0,1,2018-05-05
223,1,0,2,1,0,0,0,1,0,0,0,0,80.0,0,1,2018-02-28
224,2,0,2,4,2,0,1,12,1,0,0,0,131.33,1,0,2018-04-14
225,3,0,2,2,0,0,1,111,1,0,0,0,150.45,0,1,2018-06-15
226,2,0,2,5,0,0,1,73,1,0,0,0,82.45,1,0,2018-04-03
227,2,0,1,2,0,0,0,193,1,0,0,0,65.0,0,1,2017-10-22
228,2,0,2,0,0,0,1,46,1,0,0,0,104.4,0,1,2018-04-01
229,2,0,2,4,0,0,0,183,1,0,0,0,110.0,1,1,2018-09-29
230,2,0,1,2,0,0,0,70,0,0,0,0,75.0,0,0,2018-03-25
231,2,0,0,4,0,0,0,40,0,0,0,0,75.0,1,0,2018-11-02
232,2,0,2,1,0,0,0,50,0,0,0,0,52.0,0,0,2018-01-14
233,1,0,0,1,1,0,0,54,1,0,0,0,108.0,0,1,2018-10-17
234,2,0,0,1,0,0,2,0,1,0,0,0,0.0,0,0,2018-04-15
235,2,0,2,5,0,0,0,97,1,0,0,0,109.81,1,0,2018-08-28
236,2,0,2,4,0,0,0,132,0,0,0,0,72.25,1,1,2018-07-31
237,2,0,2,1,0,0,0,180,1,0,0,0,96.3,2,1,2018-08-28
238,2,0,0,2,0,0,0,22,0,0,0,0,140.0,0,0,2018-05-04
239,2,0,0,4,0,0,4,35,1,0,0,0,123.84,0,1,2018-10-27
240,2,0,0,3,0,0,0,166,1,0,0,0,118.8,0,1,2018-10-06
241,2,0,1,3,0,0,0,164,1,0,0,0,99.45,0,0,2018-05-02
242,2,0,0,2,2,0,0,256,0,0,0,0,109.0,0,0,2018-06-16
243,1,0,1,2,0,0,0,162,0,0,0,0,115.0,0,1,2018-10-14
244,2,0,1,5,0,0,1,141,1,0,0,0,97.75,0,0,2018-11-13
245,3,0,0,3,2,0,0,43,1,0,0,0,194.3,2,0,2018-11-09
246,2,2,0,1,0,0,3,101,1,0,0,0,198.9,0,1,2018-05-30
247,2,0,0,1,2,1,1,7,1,0,0,0,215.0,1,0,2018-03-05
248,2,0,1,1,0,0,1,151,0,0,0,0,82.45,2,1,2018-07-11
249,2,0,0,1,0,0,1,138,1,0,0,0,124.5,2,0,2018-05-17
250,2,0,2,5,1,0,0,59,1,0,0,0,67.5,1,1,2018-03-12
251,2,0,0,1,0,0,0,37,0,0,0,0,105.0,0,0,2018-10-22
252,1,0,0,2,0,0,0,273,2,0,0,0,106.0,0,1,2017-07-20
253,2,1,1,1,0,0,0,6,1,0,0,0,196.0,2,0,2018-04-21
254,2,1,0,1,0,0,0,152,1,0,0,0,114.75,0,1,2018-07-23
255,2,0,0,1,0,0,0,76,0,0,0,0,80.75,0,0,2018-05-11
256,3,0,0,2,0,0,1,156,1,0,0,0,137.7,0,1,2018-07-26
257,2,1,0,1,0,0,0,2,1,0,0,0,159.0,2,0,2018-05-21
258,2,0,2,5,2,0,0,200,1,0,0,0,107.95,0,1,2018-08-17
259,2,0,2,1,0,0,1,56,0,0,0,0,60.0,0,0,2018-11-13
260,2,0,0,4,0,0,0,146,0,0,0,0,95.0,0,1,2018-08-24
261,2,0,2,1,0,0,0,87,0,0,0,0,58.0,0,0,2018-03-27
262,2,0,1,2,0,0,1,50,0,0,0,0,60.0,1,0,2018-11-14
263,2,0,2,2,0,0,0,54,0,0,0,0,72.0,0,0,2018-10-16
264,2,1,1,3,0,0,0,189,0,0,0,0,72.25,0,0,2018-08-08
265,2,0,2,3,0,0,0,166,0,0,0,0,72.25,0,0,2018-08-01
266,1,0,2,5,0,0,1,181,1,0,0,0,129.7,1,1,2018-10-11
267,2,0,2,2,0,0,1,99,1,0,0,0,93.08,1,0,2018-04-17
268,1,0,0,4,0,0,1,24,1,0,0,0,64.22,0,0,2018-03-04
269,1,0,0,3,2,0,0,256,0,0,0,0,90.0,0,0,2018-06-15
270,2,0,2,2,2,0,0,7,1,0,0,0,153.5,1,0,2018-08-14
271,2,1,1,3,0,0,0,69,1,0,0,0,97.75,0,0,2018-03-21
272,1,0,2,0,0,0,0,50,1,0,0,0,145.69,0,0,2018-11-09
273,0,2,0,3,0,0,2,103,1,0,0,0,99.3,0,1,2018-04-06
274,2,0,1,3,0,0,1,23,0,0,0,0,75.0,0,0,2017-10-14
275,3,0,0,3,0,0,1,184,1,0,0,0,137.7,1,1,2018-08-11
276,2,0,2,4,1,0,1,2,1,0,0,0,110.0,1,0,2018-11-12
277,2,0,2,2,0,0,1,51,0,0,0,0,90.95,1,0,2018-09-04
278,2,0,1,2,0,0,0,155,1,0,0,0,85.0,1,1,2018-11-25
279,2,0,0,2,0,0,0,208,1,0,0,0,96.3,1,1,2018-09-01
280,2,0,2,1,0,0,0,93,1,0,0,0,90.3,1,1,2018-10-31
281,3,0,1,4,2,0,1,33,1,0,0,0,123.82,3,0,2018-10-19
282,2,0,0,1,0,0,0,167,1,0,0,0,105.3,1,1,2018-08-26
283,2,0,1,4,0,0,0,24,0,0,0,0,110.8,0,0,2018-06-28
284,1,0,0,2,0,0,0,2,0,0,0,0,55.0,0,0,2018-03-02
285,2,0,2,5,0,0,0,118,0,0,0,0,110.0,1,0,2018-06-06
286,1,0,0,3,0,0,0,166,0,0,0,0,110.0,0,1,2018-11-01
287,2,0,0,1,0,0,0,126,1,0,0,0,118.8,1,1,2018-10-08
288,2,0,1,1,0,0,0,180,1,0,0,0,100.0,1,1,2018-05-02
289,2,1,1,3,0,0,1,12,1,0,0,0,125.83,1,0,2018-12-08
290,2,1,1,4,0,0,0,142,1,0,0,0,116.45,1,1,2018-07-11
291,2,0,0,5,1,0,0,197,1,0,0,0,85.5,0,1,2018-08-26
292,2,0,0,2,0,0,0,1,0,0,0,0,91.2,0,0,2017-09-09
293,2,0,2,5,0,0,1,208,1,0,0,0,77.51,1,0,2018-08-13
294,2,0,2,1,0,0,0,25,0,0,0,0,85.0,0,1,2018-10-22
295,1,0,1,2,0,0,0,12,0,0,0,0,90.0,0,0,2017-10-09
296,1,0,1,0,0,0,0,3,2,1,1,3,65.0,1,0,2018-07-11
297,2,0,2,1,0,0,1,202,1,0,0,0,109.8,1,1,2018-10-02
298,2,0,0,1,1,0,0,102,1,0,0,0,108.0,1,1,2018-10-09
299,2,0,1,2,0,0,2,161,0,0,0,0,130.0,1,1,2018-03-25
300,2,0,1,2,0,0,0,117,0,0,0,0,72.25,0,0,2018-08-01
301,3,0,1,3,1,0,0,52,1,0,0,0,74.8,0,0,2018-12-07
302,2,2,0,3,0,0,3,115,1,0,0,0,177.3,2,0,2018-07-14
303,1,0,0,1,0,0,0,77,1,0,0,0,86.4,0,0,2018-11-23
304,2,1,0,4,0,0,0,237,1,0,0,0,107.53,0,1,2018-10-14
305,2,0,1,3,0,0,2,3,1,0,0,0,103.0,1,0,2018-03-07
306,2,0,2,2,1,0,0,136,1,0,0,0,105.6,1,0,2018-05-30
307,2,0,2,2,2,0,0,14,1,0,0,0,149.0,1,1,2018-09-11
308,2,0,0,3,2,0,1,93,1,0,0,0,189.0,3,0,2018-05-17
309,2,0,0,1,0,0,0,48,0,0,0,0,75.0,0,0,2017-10-11
310,2,0,0,3,0,0,0,78,0,0,0,0,100.0,0,0,2018-03-26
311,2,0,0,4,0,0,0,98,1,0,0,0,72.25,0,0,2017-12-03
312,2,0,2,2,0,0,0,122,1,0,0,0,105.83,1,0,2018-07-30
313,2,0,1,3,0,0,0,132,0,0,0,0,72.25,0,0,2018-07-01
314,1,0,0,3,0,0,1,130,1,0,0,0,139.5,2,1,2018-09-29
315,3,0,0,2,0,0,1,59,1,0,0,0,137.7,0,1,2018-07-27
316,1,0,0,2,0,0,0,37,0,0,0,0,95.0,0,0,2018-10-27
317,2,2,1,3,0,0,3,33,1,0,0,0,159.75,0,1,2017-10-26
318,2,0,2,1,1,0,0,97,1,0,0,0,108.0,0,1,2018-10-16
319,2,0,1,2,0,0,0,166,1,0,0,0,118.8,1,1,2018-10-06
320,2,0,6,10,0,0,2,30,1,0,0,0,77.86,2,1,2018-11-11
321,1,0,2,2,0,0,1,8,1,0,0,0,108.57,1,0,2018-05-19
322,1,0,0,3,0,0,0,28,1,0,0,0,137.76,0,1,2018-05-04
323,2,0,2,2,0,0,1,76,0,0,0,0,90.95,1,0,2018-05-08
324,2,0,2,2,0,0,0,118,1,0,0,0,90.95,1,0,2018-04-10
325,2,0,1,3,0,0,0,167,1,0,0,0,99.45,0,1,2018-07-04
326,2,0,0,1,1,0,0,130,1,0,0,0,85.5,1,0,2018-09-25
327,2,0,0,3,0,0,0,44,0,0,0,0,75.0,1,0,2018-08-17
328,2,0,2,5,1,0,0,147,1,0,0,0,89.25,2,1,2018-07-11
329,2,0,0,2,1,1,0,156,1,0,0,0,103.5,1,0,2018-07-16
330,2,1,0,3,0,0,0,68,1,0,0,0,121.5,0,1,2018-07-11
331,2,0,1,2,0,0,0,86,0,0,0,0,65.0,0,0,2017-09-17
332,2,0,2,1,0,0,0,153,1,0,0,0,113.1,0,1,2018-08-20
333,2,0,0,3,0,0,0,76,0,0,0,0,80.75,1,0,2018-05-17
334,3,0,2,5,0,0,1,140,1,0,0,0,132.48,0,1,2018-07-30
